1,Manuela Azevedo,39,Limeira,manuela.azevedo@gmail.com
2,Eduarda Queiroz,55,Itapecerica da Serra,eduarda.queiroz@outlook.com
3,Nicolas Cavalcanti,37,Itu,nicolas.cavalcanti@icloud.com
4,Juliana Peixoto,59,Guarulhos,juliana.peixoto@hotmail.com
5,Aline Rodrigues,57,São José do Rio Preto,aline.rodrigues@hotmail.com
6,Gustavo Barroso,19,Campinas,gustavo.barroso@outlook.com
7,Nicolas Nunes,43,Ribeirão Preto,nicolas.nunes@mail.com
8,Rodrigo Barros,55,Guarulhos,rodrigo.barros@fatec.sp.gov.br
9,Fernanda Moreira,48,São Bernardo do Campo,fernanda.moreira@hotmail.com
10,Joaquim Fonseca,29,Presidente Prudente,joaquim.fonseca@fatec.sp.gov.br
11,Igor Batista,54,Carapicuíba,igor.batista@yahoo.com
12,Amilton Pereira,59,São Paulo,amilton.pereira@yahoo.com
13,Beatriz Pimentel,37,Piracicaba,beatriz.pimentel@mail.com
14,Gustavo Moreira,43,Santo André,gustavo.moreira@mail.com
15,Diego Andrade,21,Limeira,diego.andrade@mail.com
16,Paula Azevedo,48,Hortolândia,paula.azevedo@yahoo.com
17,Nicolas Batista,54,Jandira,nicolas.batista@gmail.com
18,Marcus Cardoso,60,Bauru,marcus.cardoso@yahoo.com
19,Raquel Barbosa,22,Campinas,raquel.barbosa@outlook.com
20,Guilherme Moraes,55,Barueri,guilherme.moraes@outlook.com
21,Larissa Fernandes,21,Diadema,larissa.fernandes@yahoo.com
22,Beatriz Nascimento,38,Ribeirão Pires,beatriz.nascimento@icloud.com
23,Felipe Costa,30,Itu,felipe.costa@mail.com
24,Sofia Costa,49,Franca,sofia.costa@mail.com
25,Adriana Fonseca,55,Presidente Prudente,adriana.fonseca@icloud.com
26,Camila Carvalho,51,Jundiaí,camila.carvalho@outlook.com
27,Rafaela Monteiro,49,Santo André,rafaela.monteiro@mail.com
28,Bernardo Carvalho,27,São Carlos,bernardo.carvalho@icloud.com
29,Igor Lopes,60,Indaiatuba,igor.lopes@mail.com
30,Amanda Barroso,29,Santo André,amanda.barroso@mail.com
31,Raquel Martins,30,Piracicaba,raquel.martins@icloud.com
32,Caio Azevedo,24,Hortolândia,caio.azevedo@hotmail.com
33,Igor Nascimento,55,Franco da Rocha,igor.nascimento@gmail.com
34,Amilton Oliveira,28,Ribeirão Pires,amilton.oliveira@outlook.com
35,Eduardo Duarte,26,Campinas,eduardo.duarte@fatec.sp.gov.br
36,Gustavo Queiroz,45,Embu das Artes,gustavo.queiroz@icloud.com
37,Gabriel Duarte,48,Rio Claro,gabriel.duarte@mail.com
38,Luíza Guerra,18,São Bernardo do Campo,luiza.guerra@icloud.com
39,Manuela Henriques,57,Jundiaí,manuela.henriques@outlook.com
40,Gustavo Monteiro,44,Guarulhos,gustavo.monteiro@outlook.com
41,David Almeida,29,Suzano,david.almeida@hotmail.com
42,Raquel Lopes,35,Guarulhos,raquel.lopes@yahoo.com
43,André Cunha,60,Franca,andre.cunha@fatec.sp.gov.br
44,Laura Batista,45,Jandira,laura.batista@mail.com
45,Fernanda Dias,26,São Carlos,fernanda.dias@mail.com
46,Sofia Neves,26,Limeira,sofia.neves@hotmail.com
47,André Neves,52,Rio Claro,andre.neves@gmail.com
48,Matheus Melo,24,Araraquara,matheus.melo@icloud.com
